Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
1902-01-16,17:19:00,7.0,17.62,-99.72,33.0,"21 km al OESTE de ZUMPANGO DEL RIO, GRO",1902-01-16,23:19:00,revisado
1902-04-18,20:23:00,7.5,14.9,-91.5,25.0,"72 km al ESTE de CACAHOATAN, CHIS",1902-04-19,02:23:00,revisado
1902-09-23,14:18:00,7.7,16.5,-92.5,25.0,"5 km al SUROESTE de TEOPISCA, CHIS",1902-09-23,20:18:00,revisado
1902-12-12,17:10:00,7.1,29.0,-114.0,33.0,"115 km al NORTE de GUERRERO NEGRO, BCS",1902-12-12,23:10:00,revisado
