Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
1999-01-01,04:39:07,3.7,15.9,-97.66,16.0,"27 km al SUROESTE de RIO GRANDE, OAX",1999-01-01,10:39:07,revisado
1999-01-02,05:34:58,4.1,16.35,-97.76,70.0,"31 km al ESTE de PINOTEPA NACIONAL, OAX",1999-01-02,11:34:58,revisado
1999-01-03,04:41:47,4.0,16.86,-100.15,3.0,"18 km al SUROESTE de COYUCA DE BENITEZ, GRO",1999-01-03,10:41:47,revisado
1999-01-03,11:50:39,4.3,15.75,-96.05,3.0,"9 km al ESTE de CRUCECITA, OAX",1999-01-03,17:50:39,revisado
1999-01-03,19:19:21,4.9,13.95,-92.19,32.0,"81 km al SUR de CD HIDALGO, CHIS",1999-01-04,01:19:21,revisado
1999-01-04,17:21:59,3.5,20.11,-98.98,3.0,"18 km al SUR de ACTOPAN, HGO",1999-01-04,23:21:59,revisado
1999-01-06,01:52:28,4.1,17.37,-94.73,165.0,"62 km al SURESTE de SAYULA DE ALEMAN, VER",1999-01-06,07:52:28,revisado
1999-01-07,02:50:57,4.1,17.86,-102.29,8.0,"14 km al SUROESTE de CD LAZARO CARDENAS, MICH",1999-01-07,08:50:57,revisado
1999-01-07,18:31:09,4.4,15.96,-98.95,18.0,"99 km al SUROESTE de OMETEPEC, GRO",1999-01-08,00:31:09,revisado
1999-01-07,20:49:54,4.1,16.89,-94.34,129.0,"69 km al NOROESTE de CINTALAPA, CHIS",1999-01-08,02:49:54,revisado
1999-01-09,03:31:00,3.7,17.28,-96.1,25.0,"54 km al NORESTE de TLACOLULA, OAX",1999-01-09,09:31:00,revisado
1999-01-10,14:36:04,4.7,22.97,-108.12,10.0,"163 km al ESTE de SAN JOSE DEL CABO, BCS",1999-01-10,20:36:04,revisado
1999-01-10,23:02:27,4.2,16.03,-93.19,145.0,"24 km al SURESTE de VILLAFLORES, CHIS",1999-01-11,05:02:27,revisado
1999-01-11,02:33:22,4.3,13.8,-92.69,16.0,"113 km al SUROESTE de CD HIDALGO, CHIS",1999-01-11,08:33:22,revisado
1999-01-11,23:11:20,4.5,13.87,-91.65,10.0,"105 km al SURESTE de CD HIDALGO, CHIS",1999-01-12,05:11:20,revisado
1999-01-12,01:31:57,4.4,16.25,-99.45,16.0,"61 km al SUR de SAN MARCOS, GRO",1999-01-12,07:31:57,revisado
1999-01-12,01:57:33,4.0,16.2,-99.42,16.0,"66 km al SUR de SAN MARCOS, GRO",1999-01-12,07:57:33,revisado
1999-01-12,10:22:16,4.5,14.47,-93.57,22.0,"130 km al SUROESTE de MAPASTEPEC, CHIS",1999-01-12,16:22:16,revisado
1999-01-12,13:42:32,3.8,17.28,-101.48,5.0,"36 km al SUROESTE de PETATLAN, GRO",1999-01-12,19:42:32,revisado
1999-01-12,18:10:00,4.7,14.3,-93.61,13.0,"148 km al SUROESTE de MAPASTEPEC, CHIS",1999-01-13,00:10:00,revisado
1999-01-12,20:14:08,4.5,16.1,-97.18,6.0,"29 km al NORESTE de RIO GRANDE, OAX",1999-01-13,02:14:08,revisado
1999-01-13,01:38:12,4.5,23.44,-108.55,5.0,"126 km al NORESTE de SAN JOSE DEL CABO, BCS",1999-01-13,07:38:12,revisado
1999-01-14,01:16:16,4.3,15.67,-93.98,62.0,"52 km al SUROESTE de TONALA, CHIS",1999-01-14,07:16:16,revisado
1999-01-14,11:03:41,4.5,15.78,-94.01,33.0,"43 km al SUROESTE de TONALA, CHIS",1999-01-14,17:03:41,revisado
1999-01-14,12:39:54,4.0,15.65,-93.97,44.0,"53 km al SUROESTE de TONALA, CHIS",1999-01-14,18:39:54,revisado
1999-01-14,17:31:02,3.7,18.18,-97.42,62.0,"17 km al SUROESTE de S GABRIEL CHILAC, PUE",1999-01-14,23:31:02,revisado
1999-01-14,23:53:47,3.4,19.12,-98.56,5.0,"16 km al NOROESTE de S BUENAVENTURA NEALTICAN, PUE",1999-01-15,05:53:47,revisado
1999-01-15,00:27:23,3.7,17.08,-100.39,30.0,"15 km al SURESTE de ATOYAC DE ALVAREZ, GRO",1999-01-15,06:27:23,revisado
1999-01-15,06:33:54,3.8,18.23,-101.56,65.0,"65 km al NORTE de ZIHUATANEJO, GRO",1999-01-15,12:33:54,revisado
1999-01-15,16:38:31,3.9,16.12,-98.68,16.0,"69 km al SUROESTE de OMETEPEC, GRO",1999-01-15,22:38:31,revisado
1999-01-17,14:53:45,3.7,17.33,-98.68,41.0,"26 km al SUROESTE de TLAPA, GRO",1999-01-17,20:53:45,revisado
1999-01-19,02:30:52,4.1,14.52,-93.59,11.0,"127 km al SUROESTE de MAPASTEPEC, CHIS",1999-01-19,08:30:52,revisado
1999-01-19,12:32:31,4.4,17.39,-92.66,96.0,"36 km al SURESTE de TEAPA, TAB",1999-01-19,18:32:31,revisado
1999-01-19,15:52:06,4.2,15.71,-98.85,16.0,"110 km al SUROESTE de PINOTEPA NACIONAL, OAX",1999-01-19,21:52:06,revisado
1999-01-20,01:33:37,4.4,17.54,-101.88,7.0,"37 km al SUROESTE de ZIHUATANEJO, GRO",1999-01-20,07:33:37,revisado
1999-01-20,15:56:13,3.8,16.11,-97.66,15.0,"27 km al NOROESTE de RIO GRANDE, OAX",1999-01-20,21:56:13,revisado
1999-01-20,21:41:16,3.8,16.56,-99.28,33.0,"28 km al SURESTE de SAN MARCOS, GRO",1999-01-21,03:41:16,revisado
1999-01-20,22:18:51,3.7,16.14,-98.23,4.0,"29 km al SUROESTE de PINOTEPA NACIONAL, OAX",1999-01-21,04:18:51,revisado
1999-01-20,23:20:53,3.9,16.8,-94.99,115.0,"10 km al SURESTE de MATIAS ROMERO, OAX",1999-01-21,05:20:53,revisado
1999-01-21,02:52:51,3.7,17.2,-101.45,5.0,"42 km al SUROESTE de PETATLAN, GRO",1999-01-21,08:52:51,revisado
1999-01-21,09:20:33,4.3,18.26,-94.61,26.0,"23 km al NOROESTE de COATZACOALCOS, VER",1999-01-21,15:20:33,revisado
1999-01-22,06:54:52,3.8,18.08,-94.46,49.0,"6 km al OESTE de NANCHITAL, VER",1999-01-22,12:54:52,revisado
1999-01-26,07:50:07,4.2,16.18,-99.44,18.0,"68 km al SUR de SAN MARCOS, GRO",1999-01-26,13:50:07,revisado
1999-01-26,15:13:52,3.8,16.15,-98.37,10.0,"40 km al SUROESTE de PINOTEPA NACIONAL, OAX",1999-01-26,21:13:52,revisado
1999-01-26,16:48:38,4.1,16.18,-98.03,12.0,"18 km al SUR de PINOTEPA NACIONAL, OAX",1999-01-26,22:48:38,revisado
1999-01-26,20:59:43,4.5,16.27,-95.24,93.0,"6 km al SUR de TEHUANTEPEC, OAX",1999-01-27,02:59:43,revisado
1999-01-27,01:55:23,3.4,18.75,-98.55,5.0,"19 km al NOROESTE de IZUCAR DE MATAMOROS, PUE",1999-01-27,07:55:23,revisado
1999-01-27,03:58:37,4.1,17.43,-95.18,79.0,"55 km al SUROESTE de SAYULA DE ALEMAN, VER",1999-01-27,09:58:37,revisado
1999-01-27,04:12:14,3.8,17.1,-99.96,43.0,"17 km al NORESTE de COYUCA DE BENITEZ, GRO",1999-01-27,10:12:14,revisado
1999-01-27,21:55:34,4.0,16.6,-99.35,30.0,"22 km al SUR de SAN MARCOS, GRO",1999-01-28,03:55:34,revisado
1999-01-28,13:56:55,3.9,17.31,-101.41,2.0,"29 km al SUROESTE de PETATLAN, GRO",1999-01-28,19:56:55,revisado
1999-01-28,14:10:02,3.9,16.85,-94.13,132.0,"47 km al NOROESTE de CINTALAPA, CHIS",1999-01-28,20:10:02,revisado
1999-01-28,15:43:05,4.0,15.97,-97.61,16.0,"19 km al OESTE de RIO GRANDE, OAX",1999-01-28,21:43:05,revisado
1999-01-28,15:53:43,3.6,18.5,-97.09,84.0,"22 km al NORESTE de AJALPAN, PUE",1999-01-28,21:53:43,revisado
1999-01-28,17:56:13,2.7,19.44,-99.21,9.0,"4 km al NOROESTE de MIGUEL HIDALGO, CDMX",1999-01-28,23:56:13,revisado
1999-01-28,19:19:49,3.9,17.79,-95.29,159.0,"25 km al SURESTE de J RODRIGUEZ CLARA, VER",1999-01-29,01:19:49,revisado
1999-01-29,00:28:07,4.6,15.21,-94.84,16.0,"114 km al SURESTE de SALINA CRUZ, OAX",1999-01-29,06:28:07,revisado
1999-01-29,11:07:59,3.9,17.24,-94.75,140.0,"51 km al NORESTE de MATIAS ROMERO, OAX",1999-01-29,17:07:59,revisado
1999-01-29,12:42:30,4.5,27.95,-111.98,10.0,"73 km al NORESTE de SANTA ROSALIA, BCS",1999-01-29,18:42:30,revisado
1999-01-30,02:33:39,3.9,15.69,-98.83,13.0,"110 km al SUROESTE de PINOTEPA NACIONAL, OAX",1999-01-30,08:33:39,revisado
1999-01-30,21:38:44,4.8,15.26,-94.83,16.0,"109 km al SURESTE de SALINA CRUZ, OAX",1999-01-31,03:38:44,revisado
1999-01-31,08:40:05,3.8,17.88,-97.67,43.0,"14 km al NORESTE de H HUAJUAPAN DE LEON, OAX",1999-01-31,14:40:05,revisado
1999-01-31,20:38:10,3.7,16.11,-98.44,5.0,"49 km al SUROESTE de PINOTEPA NACIONAL, OAX",1999-02-01,02:38:10,revisado
1999-02-01,05:17:00,4.0,18.1,-102.02,47.0,"22 km al NORESTE de LAS GUACAMAYAS, MICH",1999-02-01,11:17:00,revisado
1999-02-01,12:44:14,3.9,16.64,-94.61,131.0,"30 km al NORESTE de UNION HIDALGO, OAX",1999-02-01,18:44:14,revisado
1999-02-01,14:34:25,3.9,15.94,-98.37,5.0,"56 km al SUROESTE de PINOTEPA NACIONAL, OAX",1999-02-01,20:34:25,revisado
1999-02-01,14:39:18,3.5,16.01,-98.42,5.0,"54 km al SUROESTE de PINOTEPA NACIONAL, OAX",1999-02-01,20:39:18,revisado
1999-02-01,14:56:48,3.7,18.57,-102.28,7.0,"54 km al SUROESTE de NUEVA ITALIA, MICH",1999-02-01,20:56:48,revisado
1999-02-01,19:22:47,3.6,17.68,-101.88,7.0,"35 km al OESTE de ZIHUATANEJO, GRO",1999-02-02,01:22:47,revisado
