Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
1994-01-02,09:22:43,4.3,15.41,-97.35,20.0,"59 km al SUROESTE de PUERTO ESCONDIDO, OAX",1994-01-02,15:22:43,revisado
1994-01-04,13:06:30,3.9,18.91,-97.86,76.0,"6 km al SUROESTE de LOS REYES DE JUAREZ, PUE",1994-01-04,19:06:30,revisado
1994-01-05,17:00:55,3.8,25.91,-106.95,10.0,"124 km al NORESTE de GUAMUCHIL, SIN",1994-01-05,23:00:55,revisado
1994-01-07,07:53:22,2.8,32.33,-115.22,6.0,"12 km al NOROESTE de GPE VICTORIA(KM.43), BC",1994-01-07,13:53:22,revisado
1994-01-07,21:05:31,4.7,14.12,-93.24,15.0,"133 km al SUROESTE de CD HIDALGO, CHIS",1994-01-08,03:05:31,revisado
1994-01-08,07:17:45,4.6,15.98,-93.14,159.0,"31 km al SURESTE de VILLAFLORES, CHIS",1994-01-08,13:17:45,revisado
1994-01-09,06:29:13,4.7,14.15,-93.81,26.0,"174 km al SUROESTE de MAPASTEPEC, CHIS",1994-01-09,12:29:13,revisado
1994-01-11,14:09:05,4.6,17.32,-100.87,27.0,"28 km al NOROESTE de TECPAN, GRO",1994-01-11,20:09:05,revisado
1994-01-11,20:46:32,4.5,15.45,-98.53,11.0,"111 km al SUROESTE de PINOTEPA NACIONAL, OAX",1994-01-12,02:46:32,revisado
1994-01-12,17:22:36,4.5,16.74,-93.75,157.0,"6 km al NOROESTE de CINTALAPA, CHIS",1994-01-12,23:22:36,revisado
1994-01-13,06:18:59,3.6,31.56,-115.25,5.0,"71 km al NOROESTE de SAN FELIPE, BC",1994-01-13,12:18:59,revisado
1994-01-14,21:18:56,4.6,17.41,-101.91,10.0,"46 km al SUROESTE de ZIHUATANEJO, GRO",1994-01-15,03:18:56,revisado
1994-01-17,01:17:20,3.9,16.24,-91.93,35.0,"10 km al SURESTE de LAS MARGARITAS, CHIS",1994-01-17,07:17:20,revisado
1994-01-20,23:53:12,3.4,16.2,-98.91,17.0,"76 km al SUROESTE de OMETEPEC, GRO",1994-01-21,05:53:12,revisado
