Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
1945-06-27,07:08:20,6.8,27.0,-111.0,33.0,"102 km al SUR de H GUAYMAS, SON",1945-06-27,13:08:20,revisado
1945-06-29,23:31:18,6.7,17.0,-115.0,33.0,"841 km al SUROESTE de CABO SAN LUCAS, BCS",1945-06-30,05:31:18,revisado
1945-10-11,10:53:02,6.5,18.32,-97.65,95.0,"31 km al SUROESTE de TEHUACAN, PUE",1945-10-11,16:53:02,revisado
1945-10-27,05:24:41,6.7,15.0,-91.25,200.0,"98 km al ESTE de CACAHOATAN, CHIS",1945-10-27,11:24:41,revisado
