Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
1993-01-01,02:12:07,4.0,17.46,-94.93,104.0,"47 km al SUR de SAYULA DE ALEMAN, VER",1993-01-01,08:12:07,revisado
1993-01-01,13:13:36,4.3,16.17,-98.23,20.0,"27 km al SUROESTE de PINOTEPA NACIONAL, OAX",1993-01-01,19:13:36,revisado
1993-01-02,18:56:55,3.7,17.16,-100.01,33.0,"19 km al NORESTE de COYUCA DE BENITEZ, GRO",1993-01-03,00:56:55,revisado
1993-01-04,05:00:14,3.8,17.16,-101.14,3.0,"44 km al SURESTE de PETATLAN, GRO",1993-01-04,11:00:14,revisado
1993-01-04,18:36:03,3.2,17.25,-99.94,39.0,"31 km al NORESTE de COYUCA DE BENITEZ, GRO",1993-01-05,00:36:03,revisado
1993-01-04,20:07:16,2.8,32.01,-115.56,6.0,"53 km al SUROESTE de GPE VICTORIA(KM.43), BC",1993-01-05,02:07:16,revisado
1993-01-05,06:43:11,3.2,17.48,-101.37,36.0,"12 km al SUROESTE de PETATLAN, GRO",1993-01-05,12:43:11,revisado
1993-01-05,18:44:23,4.4,17.9,-98.74,65.0,"43 km al NOROESTE de TLAPA, GRO",1993-01-06,00:44:23,revisado
1993-01-05,21:42:40,4.9,14.1,-94.1,15.0,"197 km al SUROESTE de MAPASTEPEC, CHIS",1993-01-06,03:42:40,revisado
1993-01-06,10:44:59,4.7,14.73,-93.94,10.0,"132 km al SUROESTE de PIJIJIAPAN, CHIS",1993-01-06,16:44:59,revisado
1993-01-06,12:21:51,4.0,17.67,-93.64,100.0,"32 km al SUROESTE de HUIMANGUILLO, TAB",1993-01-06,18:21:51,revisado
1993-01-06,22:29:35,4.4,14.37,-94.0,10.0,"168 km al SUROESTE de MAPASTEPEC, CHIS",1993-01-07,04:29:35,revisado
1993-01-07,01:56:31,4.6,14.25,-92.84,44.0,"88 km al SUROESTE de CD HIDALGO, CHIS",1993-01-07,07:56:31,revisado
1993-01-07,08:08:13,4.8,14.17,-94.04,30.0,"187 km al SUROESTE de MAPASTEPEC, CHIS",1993-01-07,14:08:13,revisado
1993-01-07,17:45:34,4.6,17.06,-95.37,63.0,"41 km al NOROESTE de MATIAS ROMERO, OAX",1993-01-07,23:45:34,revisado
1993-01-11,03:50:17,4.0,17.18,-100.48,47.0,"6 km al SUROESTE de ATOYAC DE ALVAREZ, GRO",1993-01-11,09:50:17,revisado
1993-01-12,20:55:15,3.4,17.71,-93.7,145.0,"35 km al SUROESTE de HUIMANGUILLO, TAB",1993-01-13,02:55:15,revisado
1993-01-13,13:26:41,3.8,15.19,-95.03,20.0,"111 km al SUR de SALINA CRUZ, OAX",1993-01-13,19:26:41,revisado
1993-01-14,03:34:43,4.0,17.04,-94.4,95.0,"71 km al NORESTE de MATIAS ROMERO, OAX",1993-01-14,09:34:43,revisado
1993-01-17,11:36:48,3.8,17.15,-101.74,29.0,"58 km al SUROESTE de ZIHUATANEJO, GRO",1993-01-17,17:36:48,revisado
1993-01-17,23:24:24,3.9,17.15,-100.65,60.0,"8 km al SUROESTE de TECPAN, GRO",1993-01-18,05:24:24,revisado
1993-01-18,03:51:34,4.1,17.25,-95.34,81.0,"52 km al NOROESTE de MATIAS ROMERO, OAX",1993-01-18,09:51:34,revisado
1993-01-18,20:24:23,4.1,17.15,-95.32,85.0,"43 km al NOROESTE de MATIAS ROMERO, OAX",1993-01-19,02:24:23,revisado
1993-01-19,05:24:33,3.9,16.28,-99.56,9.0,"60 km al SUROESTE de SAN MARCOS, GRO",1993-01-19,11:24:33,revisado
1993-01-20,06:27:20,3.7,17.99,-101.98,35.0,"25 km al ESTE de CD LAZARO CARDENAS, MICH",1993-01-20,12:27:20,revisado
1993-01-20,16:39:38,4.9,15.98,-94.11,84.0,"36 km al SUROESTE de ARRIAGA , CHIS",1993-01-20,22:39:38,revisado
