Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
1932-06-03,04:36:52,8.2,19.57,-104.42,33.0,"4 km al SURESTE de CASIMIRO CASTILLO, JAL",1932-06-03,10:36:52,revisado
1932-06-18,04:12:10,7.8,19.5,-103.5,33.0,"14 km al SUROESTE de TUXPAN, JAL",1932-06-18,10:12:10,revisado
1932-06-22,06:59:28,6.9,18.74,-104.68,33.0,"52 km al SUROESTE de MANZANILLO, COL",1932-06-22,12:59:28,revisado
1932-07-07,10:15:51,6.7,29.0,-113.0,33.0,"149 km al OESTE de M ALEMAN(LA DOCE), SON",1932-07-07,16:15:51,revisado
1932-07-12,13:24:10,6.7,26.5,-110.0,33.0,"51 km al SUROESTE de HUATABAMPO, SON",1932-07-12,19:24:10,revisado
1932-07-25,03:12:46,6.9,18.87,-103.93,33.0,"7 km al SUROESTE de TECOMAN, COL",1932-07-25,09:12:46,revisado
1932-12-07,10:22:09,6.8,19.0,-104.0,33.0,"8 km al NOROESTE de CD DE ARMERIA, COL",1932-12-07,16:22:09,revisado
