Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
1948-01-06,11:23:36,6.9,17.0,-98.0,80.0,"45 km al SUROESTE de H TLAXIACO, OAX",1948-01-06,17:23:36,revisado
1948-01-06,11:25:58,7.0,17.0,-98.0,80.0,"45 km al SUROESTE de H TLAXIACO, OAX",1948-01-06,17:25:58,revisado
1948-08-11,04:36:19,6.5,17.75,-95.25,100.0,"31 km al SURESTE de J RODRIGUEZ CLARA, VER",1948-08-11,10:36:19,revisado
1948-12-03,18:22:48,6.9,22.0,-106.5,33.0,"116 km al SUROESTE de TECUALA, NAY",1948-12-04,00:22:48,revisado
