Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
1909-07-30,04:51:54,7.2,16.8,-99.9,33.0,"8 km al SUR de ACAPULCO, GRO",1909-07-30,10:51:54,revisado
1909-07-31,12:43:10,6.9,16.62,-99.45,33.0,"20 km al SUROESTE de SAN MARCOS, GRO",1909-07-31,18:43:10,revisado
1909-09-05,05:17:20,6.6,16.53,-99.72,33.0,"42 km al SURESTE de ACAPULCO, GRO",1909-09-05,11:17:20,revisado
1909-10-31,04:23:00,6.9,17.0,-101.2,33.0,"60 km al SUR de PETATLAN, GRO",1909-10-31,10:23:00,revisado
