Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
1979-01-02,06:27:00,3.0,32.05,-115.93,5.0,"68 km al NORESTE de ENSENADA, BC",1979-01-02,12:27:00,revisado
1979-01-02,08:20:00,5.0,14.37,-93.04,96.0,"102 km al SUROESTE de CD HIDALGO, CHIS",1979-01-02,14:20:00,revisado
1979-01-04,05:29:13,3.2,31.67,-115.87,5.0,"67 km al ESTE de RODOLFO SANCHEZ T(MRO), BC",1979-01-04,11:29:13,revisado
1979-01-04,06:47:57,no calculable,15.94,-96.51,4.0,"22 km al NORTE de S PEDRO POCHUTLA, OAX",1979-01-04,12:47:57,revisado
1979-01-04,18:29:39,no calculable,16.35,-96.29,21.0,"32 km al ESTE de MIAHUATLAN, OAX",1979-01-05,00:29:39,revisado
1979-01-04,22:23:48,no calculable,15.78,-94.77,24.0,"64 km al SURESTE de SALINA CRUZ, OAX",1979-01-05,04:23:48,revisado
1979-01-05,00:52:05,no calculable,14.55,-93.23,70.0,"105 km al SUROESTE de HUIXTLA, CHIS",1979-01-05,06:52:05,revisado
1979-01-05,00:57:58,no calculable,15.67,-96.94,16.0,"25 km al SURESTE de PUERTO ESCONDIDO, OAX",1979-01-05,06:57:58,revisado
1979-01-05,04:23:57,no calculable,16.51,-94.3,60.0,"53 km al NOROESTE de ARRIAGA , CHIS",1979-01-05,10:23:57,revisado
1979-01-05,16:31:40,no calculable,15.79,-97.14,60.0,"11 km al SUROESTE de PUERTO ESCONDIDO, OAX",1979-01-05,22:31:40,revisado
1979-01-06,03:21:38,4.4,14.25,-93.81,60.0,"165 km al SUROESTE de MAPASTEPEC, CHIS",1979-01-06,09:21:38,revisado
1979-01-06,05:51:31,5.3,18.08,-103.04,36.0,"75 km al OESTE de LA MIRA, MICH",1979-01-06,11:51:31,revisado
1979-01-06,10:33:06,no calculable,13.91,-92.38,96.0,"89 km al SUROESTE de CD HIDALGO, CHIS",1979-01-06,16:33:06,revisado
1979-01-06,11:25:24,no calculable,17.11,-94.86,116.0,"33 km al NORESTE de MATIAS ROMERO, OAX",1979-01-06,17:25:24,revisado
1979-01-07,05:48:33,no calculable,19.45,-98.82,42.0,"5 km al ESTE de S MIGUEL COATLINCHAN, MEX",1979-01-07,11:48:33,revisado
1979-01-07,08:25:01,no calculable,15.24,-97.0,4.0,"69 km al SUR de PUERTO ESCONDIDO, OAX",1979-01-07,14:25:01,revisado
1979-01-07,19:28:52,no calculable,16.17,-97.79,33.0,"34 km al SURESTE de PINOTEPA NACIONAL, OAX",1979-01-08,01:28:52,revisado
1979-01-08,04:16:54,no calculable,17.02,-101.5,18.0,"62 km al SUROESTE de PETATLAN, GRO",1979-01-08,10:16:54,revisado
1979-01-08,11:31:10,no calculable,16.71,-101.1,16.0,"75 km al SUROESTE de TECPAN, GRO",1979-01-08,17:31:10,revisado
1979-01-08,11:56:01,no calculable,15.45,-96.42,33.0,"33 km al SUR de S PEDRO POCHUTLA, OAX",1979-01-08,17:56:01,revisado
1979-01-08,14:04:48,no calculable,18.15,-95.3,16.0,"21 km al NORESTE de J RODRIGUEZ CLARA, VER",1979-01-08,20:04:48,revisado
1979-01-08,17:12:08,no calculable,15.66,-96.68,18.0,"25 km al SUROESTE de S PEDRO POCHUTLA, OAX",1979-01-08,23:12:08,revisado
1979-01-08,20:35:44,no calculable,15.58,-96.47,12.0,"18 km al SUR de S PEDRO POCHUTLA, OAX",1979-01-09,02:35:44,revisado
1979-01-09,07:31:40,no calculable,15.71,-93.61,33.0,"43 km al OESTE de PIJIJIAPAN, CHIS",1979-01-09,13:31:40,revisado
1979-01-09,22:29:19,5.2,15.34,-96.8,38.0,"57 km al SUROESTE de S PEDRO POCHUTLA, OAX",1979-01-10,04:29:19,revisado
