estado,anio,total_sismos,magnitud_promedio,magnitud_maxima
MEX,2018,53,2.7452830188679247,3.9
MOR,2018,48,3.5187500000000003,3.9
HGO,2018,40,3.09,3.9
DGO,2018,27,3.8074074074074074,4.6
CDMX,2018,22,2.3181818181818183,3.3
TAB,2018,19,4.052631578947368,4.3
CHIH,2018,15,3.9133333333333336,4.7
SLP,2018,14,3.8714285714285714,4.3
COAH,2018,10,3.97,4.3
TAMS,2018,10,3.85,4.6
TLAX,2018,9,3.6555555555555554,3.7
NL,2018,7,3.6285714285714286,4.2
QRO,2018,3,3.3000000000000003,3.4
ZAC,2018,3,3.8333333333333335,3.9
GTO,2018,2,3.8,3.8
OAX,2019,14432,3.580210643015521,5.8
GRO,2019,4191,3.5307325220711046,5.1
CHIS,2019,3651,3.8452478772938923,6.5
MICH,2019,852,3.688028169014084,5.1
JAL,2019,779,3.611553273427471,5.8
BC,2019,767,3.446284224250326,5.3
COL,2019,496,3.5268145161290323,5.2
VER,2019,475,3.76,5.4
BCS,2019,199,3.8000000000000003,5.8
PUE,2019,135,3.3244444444444445,4.2
SON,2019,82,3.680487804878049,4.3
SIN,2019,70,3.908571428571429,4.5
CDMX,2019,42,2.1214285714285714,3.5
MEX,2019,41,2.548780487804878,3.8
NAY,2019,37,3.7729729729729726,4.1
TLAX,2019,29,3.5827586206896553,4.0
MOR,2019,28,3.585714285714286,3.9
SLP,2019,27,3.922222222222222,4.3
TAB,2019,25,3.964,4.7
CHIH,2019,19,3.9578947368421056,4.5
NL,2019,19,3.7578947368421054,4.2
HGO,2019,17,3.182352941176471,3.8
COAH,2019,11,3.9545454545454546,4.4
AGS,2019,4,2.7,3.3
DGO,2019,4,3.7,3.8
ZAC,2019,4,2.875,3.1
TAMS,2019,3,3.8666666666666667,4.0
GTO,2019,2,3.7,3.9
QRO,2019,1,3.6,3.6
OAX,2020,13076,3.6050550627103086,7.4
MICH,2020,4873,3.632279909706546,4.8
GRO,2020,4289,3.516041035206342,5.3
CHIS,2020,3170,3.813280757097792,5.9
JAL,2020,1390,3.523525179856115,5.5
COL,2020,1072,3.4277985074626867,4.6
BC,2020,719,3.5442280945758,5.6
VER,2020,595,3.7470588235294118,4.9
BCS,2020,324,3.5765432098765433,5.0
PUE,2020,126,3.361904761904762,4.0
ZAC,2020,118,1.7,4.0
SON,2020,66,3.675757575757576,4.3
HGO,2020,63,3.0666666666666664,4.1
SIN,2020,62,4.030645161290322,6.2
TAB,2020,27,3.985185185185185,4.5
MEX,2020,24,2.6166666666666667,3.7
NL,2020,22,3.2318181818181815,4.3
MOR,2020,19,3.4421052631578952,3.9
SLP,2020,18,3.8666666666666663,4.1
COAH,2020,17,3.911764705882353,4.5
CDMX,2020,16,2.15,3.4
TLAX,2020,11,3.6636363636363636,3.8
CHIH,2020,9,4.044444444444444,4.2
DGO,2020,7,3.742857142857143,4.2
TAMS,2020,7,3.914285714285714,4.2
GTO,2020,5,3.84,4.1
NAY,2020,3,4.0,4.1
QRO,2020,2,3.4000000000000004,3.7
OAX,2021,9760,3.5579918032786884,5.1
GRO,2021,5479,3.425935389669648,7.1
CHIS,2021,3682,3.761542639869636,5.8
BC,2021,2300,3.503391304347826,4.8
MICH,2021,2175,3.6412873563218393,5.1
JAL,2021,1825,3.4874520547945207,6.0
COL,2021,1208,3.395860927152318,4.2
SON,2021,842,3.770665083135392,5.5
VER,2021,671,3.702682563338301,5.0
BCS,2021,273,3.772161172161172,5.3
PUE,2021,138,3.2934782608695654,4.3
SIN,2021,125,3.9816,5.6
ZAC,2021,96,1.3760416666666666,3.8
GTO,2021,67,3.734328358208955,4.5
NL,2021,63,3.6142857142857143,4.2
TAB,2021,56,3.710714285714286,4.4
NAY,2021,46,3.823913043478261,4.3
HGO,2021,42,2.7523809523809524,3.5
COAH,2021,41,3.9463414634146345,4.3
MOR,2021,30,3.3833333333333333,3.9
MEX,2021,29,2.3551724137931034,3.8
SLP,2021,27,3.8,4.3
CDMX,2021,14,1.9214285714285713,3.4
TAMS,2021,14,3.8428571428571425,4.4
CHIH,2021,13,4.107692307692307,4.5
TLAX,2021,6,3.65,4.0
,2021,3,3.6333333333333333,3.7
AGS,2021,2,3.4,3.4
DGO,2021,2,3.8,3.8
QRO,2021,1,3.5,3.5
OAX,2022,8559,3.564528566421311,5.6
GRO,2022,5083,3.4445799724572104,6.0
MICH,2022,3938,3.595962417470797,7.7
BC,2022,3317,3.450316551100392,6.2
CHIS,2022,2990,3.7924080267558526,6.2
JAL,2022,1760,3.4401136363636367,5.2
COL,2022,1583,3.416424510423247,5.3
VER,2022,629,3.70731319554849,5.7
BCS,2022,543,3.7370165745856356,6.3
SON,2022,390,3.736153846153846,5.3
CHIH,2022,265,2.821132075471698,4.6
ZAC,2022,189,1.6391534391534393,3.9
SIN,2022,125,3.9144,5.0
PUE,2022,123,3.3024390243902437,4.1
HGO,2022,84,2.607142857142857,3.8
TAB,2022,45,3.897777777777778,4.7
COAH,2022,42,3.6595238095238094,4.1
MEX,2022,41,2.4073170731707316,3.9
SLP,2022,39,3.7948717948717947,4.3
CDMX,2022,26,1.5,3.2
MOR,2022,26,3.0807692307692305,4.0
NL,2022,26,3.5846153846153848,4.1
NAY,2022,15,3.8266666666666667,4.5
TAMS,2022,15,3.7666666666666666,4.3
DGO,2022,9,3.811111111111111,4.1
GTO,2022,4,3.85,4.0
TLAX,2022,3,3.3666666666666667,3.6
AGS,2022,2,2.55,3.3
YUC,2022,1,3.8,3.8
OAX,2023,6760,3.6046153846153848,6.0
GRO,2023,3898,3.4703437660338636,5.2
CHIS,2023,3474,3.792803684513529,6.5
BC,2023,3083,3.441193642555952,4.8
MICH,2023,2406,3.569201995012469,5.0
COL,2023,1260,3.4042063492063495,4.6
JAL,2023,1157,3.5294727744165946,5.8
VER,2023,655,3.666106870229008,4.8
BCS,2023,332,3.7656626506024096,6.4
PUE,2023,145,3.3689655172413793,5.7
HGO,2023,129,2.5426356589147288,4.1
ZAC,2023,127,1.5385826771653544,3.9
SIN,2023,105,3.8342857142857145,5.2
SON,2023,104,3.6471153846153848,4.6
CDMX,2023,93,1.7666666666666668,3.6
SLP,2023,90,3.402222222222222,5.0
NL,2023,81,3.645679012345679,4.1
TAB,2023,57,3.829824561403509,4.4
NAY,2023,39,3.951282051282051,4.5
MOR,2023,31,3.4645161290322584,3.9
MEX,2023,22,2.4545454545454546,3.8
CHIH,2023,17,3.7294117647058824,4.1
COAH,2023,16,3.6875,4.0
DGO,2023,11,3.8454545454545452,4.4
TLAX,2023,8,3.625,3.9
GTO,2023,7,3.7142857142857144,3.8
TAMS,2023,7,3.6142857142857143,3.7
CAMP,2023,2,3.9499999999999997,4.1
QRO,2023,1,3.6,3.6
BCS,2024,7668,1.9713615023474178,5.6
OAX,2024,6713,3.563399374348279,5.1
GRO,2024,4755,3.405993690851735,5.4
BC,2024,3995,3.2514893617021277,5.0
CHIS,2024,3170,3.7682649842271294,6.3
JAL,2024,1566,3.4278416347381864,5.8
MICH,2024,1436,3.553203342618384,4.8
COL,2024,1387,3.285940879596251,5.2
VER,2024,717,3.5987447698744774,4.5
SON,2024,193,3.7512953367875648,4.5
PUE,2024,174,3.2080459770114946,4.3
HGO,2024,102,2.3519607843137256,3.9
CDMX,2024,95,1.7178947368421051,3.4
SLP,2024,92,3.6293478260869563,4.2
SIN,2024,91,3.8384615384615386,4.5
TAMS,2024,46,3.6021739130434782,4.2
ZAC,2024,41,2.151219512195122,4.6
MEX,2024,39,2.2102564102564104,3.7
TAB,2024,35,3.817142857142857,4.3
NL,2024,33,3.466666666666667,4.0
MOR,2024,23,3.4565217391304346,4.0
CHIH,2024,21,3.804761904761905,4.3
TLAX,2024,21,3.357142857142857,3.9
COAH,2024,19,3.7947368421052627,4.3
NAY,2024,10,3.8299999999999996,4.1
GTO,2024,2,3.75,3.9
QRO,2024,1,3.8,3.8
OAX,2025,7643,3.524689258144708,5.9
CHIS,2025,7527,2.967384083964395,6.0
BCS,2025,7261,1.8945048891337282,5.9
GRO,2025,6425,3.270132295719844,5.1
MICH,2025,3454,3.2005500868558197,6.1
BC,2025,2548,3.317896389324961,4.3
JAL,2025,1488,3.4059139784946235,5.8
COL,2025,1355,3.2195571955719555,4.6
VER,2025,959,3.5821689259645466,5.3
SLP,2025,242,3.5628099173553722,4.2
PUE,2025,199,3.150251256281407,4.0
ZAC,2025,179,1.7497206703910615,4.3
SIN,2025,79,3.8746835443037977,4.6
SON,2025,79,3.5012658227848106,4.3
MEX,2025,69,1.8275362318840578,3.7
HGO,2025,65,2.5692307692307694,3.8
TAB,2025,62,3.667741935483871,4.3
NL,2025,44,3.661363636363636,4.5
TAMS,2025,39,3.4461538461538463,3.8
COAH,2025,38,3.9815789473684213,4.9
CDMX,2025,29,1.7275862068965517,3.9
MOR,2025,24,3.470833333333333,3.8
TLAX,2025,18,3.533333333333333,3.9
CHIH,2025,15,4.0,4.3
NAY,2025,12,3.8000000000000003,4.5
YUC,2025,7,3.742857142857143,4.1
DGO,2025,3,3.6999999999999997,3.8
QRO,2025,3,3.3666666666666667,3.7
GTO,2025,2,3.8499999999999996,3.9
AGS,2025,1,3.6,3.6
CAMP,2025,1,4.0,4.0
,2025,1,3.0,3.0
GRO,2026,4778,3.100104646295521,6.5
OAX,2026,2105,3.569833729216152,5.7
CHIS,2026,1914,2.9815047021943575,4.9
BCS,2026,660,2.014393939393939,4.6
BC,2026,651,3.3107526881720433,4.5
JAL,2026,492,3.4884146341463413,4.8
MICH,2026,320,3.5496875,4.8
VER,2026,296,3.5250000000000004,4.5
COL,2026,294,3.2418367346938775,4.3
ZAC,2026,71,1.43943661971831,3.5
SLP,2026,46,3.5500000000000003,4.2
PUE,2026,43,3.225581395348837,4.0
CDMX,2026,21,2.0,2.5
TAB,2026,21,3.7047619047619045,4.3
SIN,2026,20,4.035,4.5
SON,2026,12,3.6916666666666664,4.2
COAH,2026,10,3.8,4.3
HGO,2026,9,2.8,3.6
CHIH,2026,6,3.9499999999999997,4.2
TAMS,2026,6,3.6333333333333333,3.9
MEX,2026,5,1.8199999999999998,2.3
NL,2026,5,3.6399999999999997,3.9
MOR,2026,3,3.466666666666667,3.7
YUC,2026,2,3.7,3.7
DGO,2026,1,3.9,3.9
NAY,2026,1,3.7,3.7
QRO,2026,1,3.6,3.6
TLAX,2026,1,3.9,3.9
