nivel_tiempo,anio,subperiodo,total_sismos,magnitud_maxima
mensual,1945,10,2,6.7
mensual,1946,6,1,6.5
mensual,1946,7,1,6.9
mensual,1948,1,2,7.0
mensual,1948,8,1,6.5
mensual,1948,12,1,6.9
mensual,1950,9,1,7.0
mensual,1950,10,2,7.2
mensual,1950,11,1,6.6
mensual,1950,12,1,7.2
mensual,1951,12,2,7.0
mensual,1953,8,1,6.7
mensual,1953,12,1,6.7
mensual,1954,4,1,7.0
mensual,1955,4,1,6.6
mensual,1955,8,1,6.6
mensual,1955,9,1,6.9
mensual,1956,2,1,6.7
mensual,1957,4,1,6.7
mensual,1957,7,1,7.8
mensual,1959,5,1,6.8
mensual,1959,8,1,6.4
mensual,1960,7,1,6.9
mensual,1961,9,1,6.6
mensual,1962,5,2,7.1
mensual,1963,11,1,6.5
mensual,1964,7,2,7.2
mensual,1965,8,1,7.4
mensual,1965,12,1,6.5
mensual,1968,7,1,6.7
mensual,1968,8,1,7.3
mensual,1968,11,1,6.6
mensual,1969,8,2,6.7
mensual,1969,11,1,6.6
mensual,1970,2,1,6.6
mensual,1970,4,2,7.3
mensual,1971,9,1,6.5
mensual,1972,10,1,6.6
mensual,1972,11,1,6.5
mensual,1973,1,1,7.6
mensual,1973,8,1,7.3
mensual,1974,1,14,5.1
mensual,1974,2,7,5.3
mensual,1974,3,13,4.9
mensual,1974,4,11,5.4
mensual,1974,5,11,6.3
mensual,1974,6,18,5.6
mensual,1974,7,13,5.6
mensual,1974,8,6,5.1
mensual,1974,9,10,5.0
mensual,1974,10,9,6.0
mensual,1974,11,10,5.1
mensual,1974,12,17,6.1
mensual,1975,1,52,5.1
mensual,1975,2,12,5.4
mensual,1975,3,16,5.5
mensual,1975,4,17,6.0
mensual,1975,5,10,4.7
mensual,1975,6,19,5.2
mensual,1975,7,13,6.5
mensual,1975,8,13,5.6
mensual,1975,9,22,5.7
mensual,1975,10,10,5.7
mensual,1975,11,4,5.9
mensual,1975,12,6,5.0
mensual,1976,1,21,5.3
mensual,1976,2,29,7.5
mensual,1976,3,8,5.4
mensual,1976,4,25,5.3
mensual,1976,5,16,5.3
mensual,1976,6,13,6.5
mensual,1976,7,6,5.2
mensual,1976,8,15,4.8
mensual,1976,9,12,5.5
mensual,1976,10,22,5.0
mensual,1976,11,10,5.0
mensual,1976,12,12,5.5
mensual,1977,1,12,5.2
mensual,1977,2,5,4.7
mensual,1977,3,13,4.9
mensual,1977,4,12,5.3
mensual,1977,5,9,4.8
mensual,1977,6,11,5.1
mensual,1977,7,8,4.8
mensual,1977,8,12,5.9
mensual,1977,9,5,5.7
mensual,1977,10,7,4.9
mensual,1977,11,6,5.2
mensual,1977,12,9,4.7
mensual,1978,1,7,4.7
mensual,1978,2,5,5.1
mensual,1978,3,14,6.6
mensual,1978,4,10,4.3
mensual,1978,5,22,6.5
mensual,1978,6,12,4.7
mensual,1978,7,16,5.0
mensual,1978,8,13,5.5
mensual,1978,9,18,5.0
mensual,1978,10,15,5.2
mensual,1978,11,23,7.6
mensual,1978,12,31,5.7
mensual,1979,1,26,6.6
mensual,1979,2,19,5.5
mensual,1979,3,61,7.4
mensual,1979,4,27,5.6
mensual,1979,5,7,4.6
mensual,1979,6,10,6.9
mensual,1979,7,9,4.7
mensual,1979,8,12,5.3
mensual,1979,9,8,4.9
mensual,1979,10,79,6.8
mensual,1979,11,20,6.3
mensual,1979,12,12,5.0
mensual,1980,1,23,5.2
mensual,1980,2,17,4.9
mensual,1980,3,16,5.2
mensual,1980,4,5,4.9
mensual,1980,5,19,5.3
mensual,1980,6,45,6.4
mensual,1980,7,21,5.5
mensual,1980,8,41,6.5
mensual,1980,9,24,5.3
mensual,1980,10,31,7.1
mensual,1980,11,32,6.1
mensual,1980,12,20,5.2
mensual,1981,1,11,5.6
mensual,1981,2,7,5.0
mensual,1981,3,11,5.4
mensual,1981,4,7,4.9
mensual,1981,5,9,4.7
mensual,1981,6,11,6.0
mensual,1981,7,13,6.5
mensual,1981,8,4,5.0
mensual,1981,9,9,5.4
mensual,1981,10,15,7.3
mensual,1981,11,5,5.5
mensual,1981,12,4,4.9
mensual,1982,1,9,6.1
mensual,1982,2,8,5.6
mensual,1982,3,5,6.0
mensual,1982,4,13,6.7
mensual,1982,5,4,5.3
mensual,1982,6,42,7.3
mensual,1982,7,17,5.1
mensual,1982,8,10,5.2
mensual,1982,9,11,5.5
mensual,1982,10,37,5.3
mensual,1982,11,9,5.1
mensual,1982,12,11,5.7
mensual,1983,1,53,6.8
mensual,1983,2,11,5.5
mensual,1983,3,19,4.7
mensual,1983,4,18,5.9
mensual,1983,5,39,6.2
mensual,1983,6,27,4.3
mensual,1983,7,29,5.5
mensual,1983,8,14,5.6
mensual,1983,9,17,5.7
mensual,1983,10,14,5.1
mensual,1983,11,8,5.3
mensual,1983,12,13,7.0
mensual,1984,1,1,4.7
mensual,1984,2,9,6.2
mensual,1984,4,23,4.9
mensual,1984,5,18,5.0
mensual,1984,6,14,5.4
mensual,1984,7,9,6.0
mensual,1984,8,12,5.4
mensual,1984,9,13,5.2
mensual,1984,10,41,5.5
mensual,1984,11,31,5.4
mensual,1984,12,29,6.2
mensual,1985,1,11,5.2
mensual,1985,2,14,5.2
mensual,1985,3,19,5.2
mensual,1985,4,18,5.1
mensual,1985,5,54,5.2
mensual,1985,6,36,5.6
mensual,1985,7,10,5.4
mensual,1985,8,8,5.2
mensual,1985,9,54,8.1
mensual,1985,10,13,5.6
mensual,1985,11,1,3.8
mensual,1985,12,6,4.7
mensual,1986,1,28,5.4
mensual,1986,2,4,5.7
mensual,1986,3,17,6.5
mensual,1986,4,9,7.0
mensual,1986,5,1,4.3
mensual,1986,6,23,5.8
