hora,dia_semana,mes,estacion,total_sismos,magnitud_promedio
7,Sunday,10,otono,238,3.037394957983193
6,Friday,1,invierno,238,3.4697478991596635
0,Thursday,1,invierno,238,3.5067226890756302
0,Monday,1,invierno,238,3.4819327731092438
22,Sunday,2,invierno,238,3.462605042016807
3,Saturday,12,invierno,237,3.464978902953587
4,Sunday,12,invierno,237,3.478902953586498
0,Sunday,2,invierno,237,3.548523206751055
4,Friday,10,otono,237,3.350632911392405
3,Sunday,1,invierno,237,3.481012658227848
10,Tuesday,9,otono,237,3.2324894514767935
23,Sunday,3,primavera,237,3.6337552742616035
23,Sunday,10,otono,237,3.4
0,Sunday,1,invierno,237,3.541772151898734
2,Saturday,11,otono,236,3.5338983050847457
2,Thursday,10,otono,236,3.3216101694915254
5,Friday,9,otono,236,3.465254237288135
22,Tuesday,10,otono,236,3.388135593220339
22,Wednesday,10,otono,236,3.445762711864407
4,Thursday,2,invierno,236,3.4114406779661017
22,Thursday,9,otono,236,3.2411016949152542
3,Thursday,3,primavera,236,3.605508474576271
15,Monday,9,otono,235,3.2246808510638294
10,Sunday,9,otono,235,3.1829787234042555
2,Wednesday,10,otono,235,3.3817021276595747
22,Monday,2,invierno,235,3.485957446808511
1,Saturday,2,invierno,235,3.5365957446808514
4,Friday,1,invierno,235,3.6123404255319147
4,Tuesday,10,otono,235,3.3574468085106384
4,Sunday,7,verano,235,3.528085106382979
16,Monday,9,otono,234,3.2145299145299147
8,Tuesday,9,otono,234,3.147863247863248
23,Thursday,10,otono,234,3.2893162393162396
1,Monday,1,invierno,234,3.5243589743589747
7,Sunday,9,otono,234,3.2555555555555555
3,Saturday,3,primavera,234,3.547008547008547
2,Thursday,2,invierno,234,3.520940170940171
0,Thursday,9,otono,234,3.4153846153846157
4,Saturday,3,primavera,234,3.6055555555555556
23,Saturday,2,invierno,234,3.560683760683761
1,Saturday,12,invierno,234,3.5854700854700856
5,Sunday,3,primavera,233,3.5390557939914165
23,Friday,10,otono,233,3.3738197424892706
22,Monday,10,otono,233,3.4772532188841203
4,Friday,9,otono,233,3.4519313304721027
5,Thursday,2,invierno,233,3.4085836909871245
3,Monday,10,otono,233,3.341630901287554
2,Monday,10,otono,233,3.287982832618026
3,Friday,12,invierno,233,3.6592274678111587
4,Thursday,11,otono,233,3.4098712446351933
2,Monday,2,invierno,233,3.490557939914163
6,Sunday,9,otono,233,3.209012875536481
1,Tuesday,12,invierno,233,3.5287553648068672
2,Wednesday,2,invierno,233,3.550643776824034
5,Sunday,2,invierno,232,3.415948275862069
2,Monday,12,invierno,232,3.4961206896551724
2,Friday,10,otono,232,3.3241379310344827
4,Monday,12,invierno,232,3.467241379310345
2,Saturday,2,invierno,232,3.5017241379310344
22,Tuesday,1,invierno,232,3.5301724137931036
19,Tuesday,10,otono,232,3.471120689655172
1,Thursday,3,primavera,232,3.652586206896552
5,Wednesday,11,otono,232,3.4357758620689656
0,Monday,2,invierno,231,3.506060606060606
21,Thursday,9,otono,231,3.37965367965368
14,Saturday,9,otono,231,3.2679653679653677
3,Monday,9,otono,231,3.27012987012987
3,Tuesday,10,otono,231,3.1822510822510823
1,Friday,12,invierno,230,3.467826086956522
14,Tuesday,9,otono,230,3.363913043478261
14,Sunday,1,invierno,230,3.486521739130435
5,Tuesday,11,otono,230,3.506521739130435
0,Monday,3,primavera,229,3.600873362445415
0,Thursday,2,invierno,229,3.5471615720524015
0,Thursday,11,otono,229,3.441048034934498
0,Saturday,7,verano,229,3.553711790393013
4,Monday,1,invierno,229,3.5078602620087334
0,Saturday,6,verano,228,3.579385964912281
4,Sunday,1,invierno,228,3.5671052631578943
3,Tuesday,1,invierno,228,3.457456140350877
4,Tuesday,2,invierno,228,3.518859649122807
22,Sunday,3,primavera,228,3.5706140350877194
2,Sunday,2,invierno,228,3.5008771929824563
0,Friday,12,invierno,228,3.481140350877193
10,Sunday,10,otono,228,3.3890350877192983
1,Monday,10,otono,228,3.2337719298245613
0,Friday,2,invierno,228,3.520175438596491
20,Thursday,1,invierno,228,3.5364035087719294
3,Friday,9,otono,228,3.361842105263158
2,Sunday,1,invierno,228,3.537280701754386
4,Wednesday,10,otono,228,3.350438596491228
12,Friday,1,invierno,228,3.4600877192982455
22,Sunday,10,otono,228,3.248684210526316
4,Saturday,1,invierno,228,3.4653508771929826
2,Thursday,3,primavera,228,3.5951754385964914
0,Saturday,3,primavera,228,3.592982456140351
16,Saturday,9,otono,227,3.304845814977974
8,Friday,9,otono,227,3.359911894273128
20,Thursday,12,invierno,227,3.5140969162995597
2,Friday,9,otono,227,3.4784140969162998
6,Monday,9,otono,227,3.1515418502202643
21,Friday,2,invierno,226,3.5769911504424776
21,Monday,2,invierno,226,3.588053097345133
0,Wednesday,11,otono,226,3.4827433628318585
19,Monday,9,otono,226,3.1685840707964603
1,Saturday,3,primavera,226,3.5331858407079646
2,Tuesday,12,invierno,226,3.5106194690265484
0,Sunday,9,otono,225,3.364
10,Friday,9,otono,225,3.3564444444444446
4,Monday,2,invierno,225,3.489777777777778
4,Sunday,3,primavera,225,3.589777777777778
3,Saturday,11,otono,225,3.388888888888889
1,Saturday,11,otono,225,3.5204444444444447
21,Friday,1,invierno,225,3.533333333333333
20,Friday,1,invierno,225,3.4915555555555557
0,Thursday,3,primavera,224,3.5044642857142856
3,Thursday,2,invierno,224,3.5660714285714286
0,Friday,9,otono,224,3.427232142857143
6,Thursday,9,otono,224,3.329910714285714
20,Tuesday,11,otono,224,3.492857142857143
22,Friday,10,otono,223,3.367713004484305
2,Thursday,11,otono,223,3.4573991031390134
22,Sunday,1,invierno,223,3.5394618834080713
0,Thursday,12,invierno,223,3.6121076233183858
5,Saturday,1,invierno,223,3.441255605381166
4,Thursday,12,invierno,223,3.52780269058296
7,Monday,9,otono,223,3.201793721973094
5,Tuesday,1,invierno,223,3.5605381165919283
6,Friday,9,otono,223,3.453811659192825
6,Tuesday,1,invierno,223,3.5399103139013453
14,Tuesday,10,otono,223,3.3282511210762333
0,Tuesday,3,primavera,223,3.575336322869955
7,Wednesday,9,otono,223,3.1955156950672645
3,Sunday,12,invierno,223,3.4937219730941704
7,Friday,1,invierno,222,3.536036036036036
18,Tuesday,10,otono,222,3.446846846846847
21,Wednesday,11,otono,221,3.5036199095022624
3,Wednesday,6,verano,221,3.6176470588235294
13,Saturday,9,otono,221,3.360180995475113
21,Wednesday,2,invierno,221,3.480995475113122
4,Sunday,10,otono,221,3.3705882352941177
8,Sunday,10,otono,221,3.4072398190045248
6,Sunday,2,invierno,221,3.409954751131222
4,Wednesday,12,invierno,221,3.498190045248869
23,Friday,12,invierno,221,3.5366515837104076
4,Sunday,11,otono,221,3.4633484162895924
22,Friday,11,otono,221,3.4624434389140273
3,Sunday,10,otono,220,3.2545454545454544
1,Monday,12,invierno,220,3.422727272727273
5,Tuesday,10,otono,220,3.3768181818181815
15,Saturday,9,otono,220,3.200909090909091
0,Tuesday,12,invierno,220,3.495
0,Friday,10,otono,220,3.4686363636363637
22,Wednesday,12,invierno,220,3.4695454545454543
4,Wednesday,11,otono,220,3.536818181818182
3,Friday,10,otono,220,3.3654545454545453
2,Tuesday,7,verano,219,3.4926940639269404
20,Sunday,2,invierno,219,3.490867579908676
16,Friday,1,invierno,219,3.5315068493150683
22,Wednesday,9,otono,219,3.349771689497717
23,Friday,3,primavera,219,3.597716894977169
21,Tuesday,11,otono,219,3.5351598173515986
6,Wednesday,11,otono,219,3.480365296803653
6,Thursday,1,invierno,219,3.521917808219178
1,Friday,2,invierno,218,3.5027522935779816
5,Friday,2,invierno,218,3.5059633027522934
6,Monday,10,otono,218,3.208715596330275
5,Tuesday,2,invierno,218,3.5389908256880735
22,Wednesday,1,invierno,218,3.5357798165137613
0,Friday,3,primavera,218,3.621559633027523
5,Friday,10,otono,218,3.2775229357798166
23,Thursday,9,otono,218,3.3678899082568807
5,Saturday,10,otono,218,3.122477064220184
5,Thursday,1,invierno,217,3.4990783410138246
1,Monday,9,otono,217,3.2534562211981566
5,Thursday,3,primavera,217,3.6133640552995394
15,Friday,1,invierno,217,3.5889400921658985
5,Saturday,11,otono,217,3.4654377880184333
6,Saturday,1,invierno,217,3.4963133640553
2,Friday,12,invierno,217,3.5221198156682028
3,Monday,3,primavera,217,3.6276497695852536
18,Saturday,9,otono,217,3.146082949308756
22,Wednesday,2,invierno,217,3.4838709677419355
5,Saturday,2,invierno,217,3.4820276497695852
23,Tuesday,12,invierno,217,3.5764976958525345
20,Wednesday,11,otono,216,3.5217592592592593
1,Thursday,11,otono,216,3.388425925925926
9,Sunday,12,invierno,216,3.475925925925926
23,Thursday,2,invierno,216,3.548148148148148
6,Sunday,3,primavera,216,3.5180555555555553
2,Wednesday,3,primavera,216,3.524537037037037
2,Saturday,3,primavera,216,3.576388888888889
8,Thursday,10,otono,216,3.314814814814815
6,Sunday,12,invierno,216,3.471759259259259
5,Sunday,11,otono,216,3.4199074074074076
21,Wednesday,1,invierno,216,3.5703703703703704
18,Monday,2,invierno,216,3.397222222222222
23,Monday,2,invierno,215,3.493488372093023
22,Saturday,1,invierno,215,3.511627906976744
1,Sunday,12,invierno,215,3.5441860465116277
1,Wednesday,2,invierno,215,3.538139534883721
20,Tuesday,10,otono,215,3.3916279069767445
21,Tuesday,9,otono,215,3.3753488372093026
1,Friday,3,primavera,215,3.6353488372093024
21,Monday,10,otono,214,3.463551401869159
18,Tuesday,11,otono,214,3.520560747663551
3,Sunday,9,otono,214,3.418691588785047
4,Tuesday,12,invierno,214,3.455607476635514
2,Saturday,6,verano,214,3.595327102803738
4,Tuesday,7,verano,214,3.522429906542056
8,Wednesday,9,otono,214,3.208411214953271
16,Saturday,10,otono,214,3.177570093457944
1,Friday,10,otono,214,3.289252336448598
3,Wednesday,5,primavera,214,3.6135514018691586
6,Monday,7,verano,214,3.5163551401869158
21,Sunday,2,invierno,213,3.5192488262910797
5,Tuesday,3,primavera,213,3.556807511737089
6,Wednesday,2,invierno,213,3.3943661971830985
22,Monday,11,otono,213,3.524882629107981
9,Sunday,2,invierno,213,3.2906103286384973
17,Sunday,1,invierno,213,3.4892018779342724
0,Sunday,12,invierno,213,3.5600938967136146
18,Wednesday,9,otono,213,3.334272300469484
23,Friday,6,verano,213,3.581220657276995
5,Monday,1,invierno,213,3.566666666666667
23,Friday,2,invierno,213,3.5333333333333337
16,Thursday,12,invierno,213,3.4253521126760567
1,Friday,9,otono,212,3.3735849056603775
5,Wednesday,12,invierno,212,3.4674528301886793
4,Monday,10,otono,212,3.218867924528302
9,Sunday,9,otono,212,3.223584905660377
7,Tuesday,1,invierno,212,3.526415094339623
5,Monday,3,primavera,212,3.5226415094339623
2,Monday,1,invierno,212,3.582547169811321
5,Thursday,11,otono,212,3.3867924528301887
21,Friday,12,invierno,211,3.5274881516587677
4,Monday,5,primavera,211,3.6137440758293837
4,Monday,11,otono,211,3.4720379146919433
7,Sunday,3,primavera,211,3.52654028436019
4,Monday,3,primavera,211,3.5417061611374407
3,Wednesday,12,invierno,211,3.479620853080569
22,Sunday,12,invierno,211,3.5180094786729854
4,Sunday,9,otono,211,3.4156398104265406
15,Tuesday,2,invierno,211,3.4677725118483416
