fecha,Hora,magnitud,latitud,longitud,profundidad,estado,distancia_km,clasificacion_magnitud,Referencia de localizacion
2007-03-15,07:13:00,5.1,16.06,-97.24,11.0,OAX,21.0,moderate,"21 km al ESTE de RIO GRANDE, OAX"
2007-02-15,17:29:34,5.1,18.75,-106.31,14.0,JAL,192.0,moderate,"192 km al SUROESTE de CIHUATLAN, JAL"
1991-09-30,05:00:14,5.1,14.91,-92.6,100.0,CHIS,29.0,moderate,"29 km al SUROESTE de HUIXTLA, CHIS"
2007-05-20,09:50:29,5.1,23.87,-108.82,15.0,BCS,127.0,moderate,"127 km al NORESTE de SAN JOSE DEL CABO, BCS"
2007-04-19,05:02:10,5.1,17.24,-101.3,24.0,GRO,33.0,moderate,"33 km al SUR de PETATLAN, GRO"
2022-09-27,20:18:24,5.1,26.9515,-111.394,5.0,BCS,97.0,moderate,"97 km al SURESTE de SANTA ROSALIA, BCS"
2022-03-12,18:01:40,5.1,15.0425,-94.1103,17.9,CHIS,120.0,moderate,"120 km al SUROESTE de PIJIJIAPAN, CHIS"
2022-03-10,13:34:20,5.1,14.2223,-93.2567,24.5,CHIS,129.0,moderate,"129 km al SUROESTE de CD HIDALGO, CHIS"
1975-10-22,19:20:03,5.1,17.2,-93.29,33.0,CHIS,39.0,moderate,"39 km al SUROESTE de PICHUCALCO, CHIS"
1975-10-22,19:19:59,5.1,17.18,-93.17,12.0,CHIS,37.0,moderate,"37 km al SUR de PICHUCALCO, CHIS"
1975-01-31,10:14:31,5.1,15.37,-104.75,44.0,MICH,392.0,moderate,"392 km al SUROESTE de LA MIRA, MICH"
1975-01-12,15:22:14,5.1,32.8,-117.97,8.0,BC,92.0,moderate,"92 km al NOROESTE de TIJUANA, BC"
1974-11-17,16:57:40,5.1,16.92,-100.14,33.0,GRO,11.0,moderate,"11 km al SUROESTE de COYUCA DE BENITEZ, GRO"
1975-09-12,20:55:26,5.1,30.87,-116.28,33.0,BC,32.0,moderate,"32 km al NOROESTE de VICENTE GUERRERO, BC"
1992-01-25,22:39:09,5.1,16.74,-98.27,47.0,GRO,16.0,moderate,"16 km al NORESTE de OMETEPEC, GRO"
1974-01-25,23:35:33,5.1,18.26,-103.41,33.0,MICH,63.0,moderate,"63 km al SUROESTE de COALCOMAN, MICH"
2024-11-12,18:18:21,5.1,15.9435,-98.6828,16.1,OAX,80.0,moderate,"80 km al SUROESTE de PINOTEPA NACIONAL, OAX"
1991-03-06,04:44:54,5.1,16.27,-94.92,81.0,OAX,21.0,moderate,"21 km al SURESTE de JUCHITAN DE ZARAGOZA, OAX"
1991-02-17,23:56:02,5.1,15.34,-92.76,69.0,CHIS,18.0,moderate,"18 km al SURESTE de MAPASTEPEC, CHIS"
