Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
1975-01-01,05:54:29,4.0,13.17,-91.91,33.0,"169 km al SUR de CD HIDALGO, CHIS",1975-01-01,11:54:29,revisado
1975-01-01,16:52:36,5.0,14.18,-92.19,80.0,"55 km al SUR de CD HIDALGO, CHIS",1975-01-01,22:52:36,revisado
1975-01-01,17:41:22,4.4,14.22,-91.84,108.0,"61 km al SURESTE de CD HIDALGO, CHIS",1975-01-01,23:41:22,revisado
1975-01-03,05:49:52,no calculable,16.66,-100.1,33.0,"32 km al SUROESTE de ACAPULCO, GRO",1975-01-03,11:49:52,revisado
1975-01-03,22:30:14,4.9,18.29,-102.59,47.0,"39 km al NOROESTE de LA MIRA, MICH",1975-01-04,04:30:14,revisado
1975-01-05,02:30:50,no calculable,15.7,-94.8,33.0,"68 km al SURESTE de SALINA CRUZ, OAX",1975-01-05,08:30:50,revisado
1975-01-07,09:53:52,no calculable,17.5,-92.6,33.0,"29 km al SUR de MACUSPANA, TAB",1975-01-07,15:53:52,revisado
1975-01-07,15:10:08,4.5,15.46,-94.06,33.0,"77 km al SUROESTE de TONALA, CHIS",1975-01-07,21:10:08,revisado
1975-01-09,00:12:47,4.6,14.0,-92.0,56.0,"77 km al SUR de CD HIDALGO, CHIS",1975-01-09,06:12:47,revisado
1975-01-09,09:20:26,4.4,13.23,-91.93,33.0,"162 km al SUR de CD HIDALGO, CHIS",1975-01-09,15:20:26,revisado
1975-01-11,12:07:44,4.6,14.54,-91.45,104.0,"77 km al ESTE de CD HIDALGO, CHIS",1975-01-11,18:07:44,revisado
1975-01-12,09:54:46,no calculable,15.2,-98.0,33.0,"108 km al SUROESTE de RIO GRANDE, OAX",1975-01-12,15:54:46,revisado
1975-01-12,15:22:14,5.1,32.8,-117.97,8.0,"92 km al NOROESTE de TIJUANA, BC",1975-01-12,21:22:14,revisado
1975-01-15,15:38:14,no calculable,15.2,-94.5,33.0,"126 km al SUROESTE de TONALA, CHIS",1975-01-15,21:38:14,revisado
1975-01-16,06:28:49,no calculable,15.5,-96.33,33.0,"31 km al SURESTE de S PEDRO POCHUTLA, OAX",1975-01-16,12:28:49,revisado
1975-01-17,12:52:26,no calculable,17.5,-102.5,33.0,"59 km al SUROESTE de CD LAZARO CARDENAS, MICH",1975-01-17,18:52:26,revisado
1975-01-20,18:36:11,4.4,14.4,-92.1,106.0,"31 km al SUR de CD HIDALGO, CHIS",1975-01-21,00:36:11,revisado
1975-01-21,10:47:35,3.2,32.93,-115.5,8.0,"30 km al NORTE de MEXICALI, BC",1975-01-21,16:47:35,revisado
1975-01-21,12:06:52,no calculable,16.8,-94.8,33.0,"27 km al SURESTE de MATIAS ROMERO, OAX",1975-01-21,18:06:52,revisado
1975-01-23,06:20:59,3.0,32.95,-115.5,8.0,"32 km al NORTE de MEXICALI, BC",1975-01-23,12:20:59,revisado
1975-01-23,06:30:16,4.3,32.93,-115.48,10.0,"30 km al NORTE de MEXICALI, BC",1975-01-23,12:30:16,revisado
1975-01-23,06:42:52,4.2,32.92,-115.48,8.0,"28 km al NORTE de MEXICALI, BC",1975-01-23,12:42:52,revisado
1975-01-23,06:49:55,3.1,32.94,-115.48,6.0,"31 km al NORTE de MEXICALI, BC",1975-01-23,12:49:55,revisado
1975-01-23,06:55:48,4.6,32.93,-115.48,4.0,"30 km al NORTE de MEXICALI, BC",1975-01-23,12:55:48,revisado
1975-01-23,07:02:07,4.3,32.93,-115.48,5.0,"30 km al NORTE de MEXICALI, BC",1975-01-23,13:02:07,revisado
1975-01-23,07:47:19,4.2,32.93,-115.48,5.0,"30 km al NORTE de MEXICALI, BC",1975-01-23,13:47:19,revisado
1975-01-23,08:15:39,4.3,32.92,-115.43,5.0,"29 km al NORTE de MEXICALI, BC",1975-01-23,14:15:39,revisado
1975-01-23,08:49:09,4.0,32.95,-115.48,4.0,"32 km al NORTE de MEXICALI, BC",1975-01-23,14:49:09,revisado
1975-01-23,09:14:06,4.0,32.98,-116.0,8.0,"55 km al NOROESTE de SANTA ISABEL, BC",1975-01-23,15:14:06,revisado
1975-01-23,09:45:40,4.5,32.94,-115.48,5.0,"31 km al NORTE de MEXICALI, BC",1975-01-23,15:45:40,revisado
1975-01-23,11:02:29,4.9,32.96,-115.49,8.0,"33 km al NORTE de MEXICALI, BC",1975-01-23,17:02:29,revisado
1975-01-23,12:15:30,3.6,32.93,-115.5,6.0,"30 km al NORTE de MEXICALI, BC",1975-01-23,18:15:30,revisado
1975-01-23,15:45:16,4.0,32.9,-115.48,5.0,"26 km al NORTE de MEXICALI, BC",1975-01-23,21:45:16,revisado
1975-01-23,16:21:04,4.0,33.0,-115.5,10.0,"37 km al NORTE de MEXICALI, BC",1975-01-23,22:21:04,revisado
1975-01-23,16:28:11,3.4,33.0,-115.5,6.0,"37 km al NORTE de MEXICALI, BC",1975-01-23,22:28:11,revisado
1975-01-23,22:00:39,3.9,32.96,-115.49,4.0,"33 km al NORTE de MEXICALI, BC",1975-01-24,04:00:39,revisado
1975-01-24,00:45:52,4.0,32.9,-115.49,4.0,"26 km al NORTE de MEXICALI, BC",1975-01-24,06:45:52,revisado
1975-01-24,05:15:02,3.9,32.93,-115.49,4.0,"30 km al NORTE de MEXICALI, BC",1975-01-24,11:15:02,revisado
1975-01-24,10:52:02,3.1,32.96,-115.46,4.0,"33 km al NORTE de MEXICALI, BC",1975-01-24,16:52:02,revisado
1975-01-24,12:26:55,3.9,32.92,-115.48,4.0,"28 km al NORTE de MEXICALI, BC",1975-01-24,18:26:55,revisado
1975-01-24,13:42:22,3.5,32.92,-115.48,5.0,"28 km al NORTE de MEXICALI, BC",1975-01-24,19:42:22,revisado
1975-01-24,13:57:13,3.2,32.92,-115.48,6.0,"28 km al NORTE de MEXICALI, BC",1975-01-24,19:57:13,revisado
1975-01-24,23:08:39,3.5,32.99,-115.5,6.0,"36 km al NORTE de MEXICALI, BC",1975-01-25,05:08:39,revisado
1975-01-24,23:22:19,3.1,32.95,-115.5,5.0,"32 km al NORTE de MEXICALI, BC",1975-01-25,05:22:19,revisado
1975-01-25,00:01:33,3.6,33.0,-115.5,6.0,"37 km al NORTE de MEXICALI, BC",1975-01-25,06:01:33,revisado
1975-01-25,01:00:11,3.1,32.95,-115.5,5.0,"32 km al NORTE de MEXICALI, BC",1975-01-25,07:00:11,revisado
1975-01-25,01:01:49,3.7,32.95,-115.5,5.0,"32 km al NORTE de MEXICALI, BC",1975-01-25,07:01:49,revisado
1975-01-25,07:09:00,3.4,32.95,-115.5,5.0,"32 km al NORTE de MEXICALI, BC",1975-01-25,13:09:00,revisado
1975-01-25,08:31:01,4.6,32.95,-115.5,6.0,"32 km al NORTE de MEXICALI, BC",1975-01-25,14:31:01,revisado
1975-01-25,08:42:43,3.1,32.95,-115.5,5.0,"32 km al NORTE de MEXICALI, BC",1975-01-25,14:42:43,revisado
1975-01-25,08:53:51,3.9,32.95,-115.52,6.0,"32 km al NORTE de MEXICALI, BC",1975-01-25,14:53:51,revisado
1975-01-25,09:56:18,3.3,33.0,-115.5,5.0,"37 km al NORTE de MEXICALI, BC",1975-01-25,15:56:18,revisado
1975-01-25,12:02:08,4.1,32.95,-115.5,9.0,"32 km al NORTE de MEXICALI, BC",1975-01-25,18:02:08,revisado
1975-01-25,12:11:44,3.0,33.0,-115.5,7.0,"37 km al NORTE de MEXICALI, BC",1975-01-25,18:11:44,revisado
1975-01-25,16:35:52,3.1,32.95,-115.5,8.0,"32 km al NORTE de MEXICALI, BC",1975-01-25,22:35:52,revisado
1975-01-25,21:41:56,4.2,32.97,-115.51,13.0,"34 km al NORTE de MEXICALI, BC",1975-01-26,03:41:56,revisado
1975-01-25,22:51:44,3.0,33.0,-115.52,5.0,"38 km al NORTE de MEXICALI, BC",1975-01-26,04:51:44,revisado
1975-01-26,08:19:11,3.0,32.99,-115.5,11.0,"36 km al NORTE de MEXICALI, BC",1975-01-26,14:19:11,revisado
1975-01-27,06:33:31,no calculable,14.2,-93.0,33.0,"106 km al SUROESTE de CD HIDALGO, CHIS",1975-01-27,12:33:31,revisado
1975-01-27,17:31:54,no calculable,16.77,-94.98,33.0,"13 km al SURESTE de MATIAS ROMERO, OAX",1975-01-27,23:31:54,revisado
1975-01-28,06:15:45,no calculable,13.28,-91.25,33.0,"183 km al SURESTE de CD HIDALGO, CHIS",1975-01-28,12:15:45,revisado
1975-01-31,10:14:31,5.1,15.37,-104.75,44.0,"392 km al SUROESTE de LA MIRA, MICH",1975-01-31,16:14:31,revisado
1975-01-31,12:51:48,4.5,15.35,-104.72,33.0,"391 km al SUROESTE de LA MIRA, MICH",1975-01-31,18:51:48,revisado
1975-02-01,03:36:44,4.3,16.1,-92.6,237.0,"27 km al SUR de VENUSTIANO CARRANZA, CHIS",1975-02-01,09:36:44,revisado
1975-02-02,19:03:25,5.4,15.61,-91.8,218.0,"37 km al ESTE de FRONTERA COMALAPA, CHIS",1975-02-03,01:03:25,revisado
1975-02-03,14:29:20,4.2,15.92,-98.85,33.0,"97 km al SUROESTE de OMETEPEC, GRO",1975-02-03,20:29:20,revisado
1975-02-06,11:47:00,no calculable,16.0,-94.6,33.0,"58 km al SURESTE de UNION HIDALGO, OAX",1975-02-06,17:47:00,revisado
1975-02-08,21:45:25,3.2,32.9,-115.47,8.0,"26 km al NORTE de MEXICALI, BC",1975-02-09,03:45:25,revisado
1975-02-09,21:59:06,4.6,13.06,-88.58,179.0,"425 km al SURESTE de CD HIDALGO, CHIS",1975-02-10,03:59:06,revisado
1975-02-12,14:36:41,no calculable,14.49,-92.47,33.0,"40 km al SUROESTE de CD HIDALGO, CHIS",1975-02-12,20:36:41,revisado
