Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
1989-01-01,03:03:06,3.8,18.05,-97.81,25.0,"27 km al NORTE de H HUAJUAPAN DE LEON, OAX",1989-01-01,09:03:06,revisado
1989-01-01,08:52:35,4.4,15.52,-97.75,15.0,"64 km al SUROESTE de RIO GRANDE, OAX",1989-01-01,14:52:35,revisado
1989-01-01,12:28:17,no calculable,29.38,-114.56,5.0,"165 km al NOROESTE de GUERRERO NEGRO, BCS",1989-01-01,18:28:17,revisado
1989-01-03,09:34:11,4.5,15.55,-95.85,40.0,"39 km al SURESTE de CRUCECITA, OAX",1989-01-03,15:34:11,revisado
1989-01-03,21:00:54,3.9,17.84,-97.08,78.0,"30 km al ESTE de TEPELMEME, OAX",1989-01-04,03:00:54,revisado
1989-01-03,23:14:01,4.2,15.38,-95.12,15.0,"89 km al SUR de SALINA CRUZ, OAX",1989-01-04,05:14:01,revisado
1989-01-04,09:04:14,5.0,15.61,-97.93,15.0,"69 km al SUROESTE de RIO GRANDE, OAX",1989-01-04,15:04:14,revisado
1989-01-04,23:53:59,4.1,15.3,-92.34,171.0,"12 km al SUROESTE de MOTOZINTLA, CHIS",1989-01-05,05:53:59,revisado
1989-01-05,23:31:38,3.9,16.74,-99.14,15.0,"27 km al ESTE de SAN MARCOS, GRO",1989-01-06,05:31:38,revisado
1989-01-06,05:51:43,4.2,17.82,-94.7,20.0,"16 km al SUR de JALTIPAN DE MORELOS, VER",1989-01-06,11:51:43,revisado
1989-01-06,16:20:11,3.8,16.2,-98.37,90.0,"37 km al SUROESTE de PINOTEPA NACIONAL, OAX",1989-01-06,22:20:11,revisado
1989-01-06,19:25:24,4.1,15.74,-97.88,6.0,"56 km al SUROESTE de RIO GRANDE, OAX",1989-01-07,01:25:24,revisado
1989-01-07,03:10:27,3.8,16.71,-99.85,16.0,"19 km al SURESTE de ACAPULCO, GRO",1989-01-07,09:10:27,revisado
1989-01-08,13:01:31,4.2,16.71,-95.4,133.0,"36 km al NOROESTE de CD IXTEPEC, OAX",1989-01-08,19:01:31,revisado
1989-01-08,22:38:57,4.9,15.81,-93.97,46.0,"38 km al SUROESTE de TONALA, CHIS",1989-01-09,04:38:57,revisado
1989-01-09,02:55:59,no calculable,31.81,-114.83,10.0,"59 km al SURESTE de GPE VICTORIA(KM.43), BC",1989-01-09,08:55:59,revisado
1989-01-09,15:34:50,4.3,14.34,-93.85,15.0,"160 km al SUROESTE de MAPASTEPEC, CHIS",1989-01-09,21:34:50,revisado
1989-01-10,21:35:36,4.2,15.84,-95.07,40.0,"40 km al SURESTE de SALINA CRUZ, OAX",1989-01-11,03:35:36,revisado
