Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
1998-01-01,11:50:45,4.2,13.86,-93.38,33.0,"160 km al SUROESTE de CD HIDALGO, CHIS",1998-01-01,17:50:45,revisado
1998-01-01,18:27:26,4.1,18.97,-98.44,5.0,"7 km al NORTE de ATLIXCO, PUE",1998-01-02,00:27:26,revisado
1998-01-02,02:51:39,4.1,16.03,-97.75,6.0,"34 km al OESTE de RIO GRANDE, OAX",1998-01-02,08:51:39,revisado
1998-01-02,06:58:58,4.1,18.38,-101.21,61.0,"43 km al SUROESTE de HUETAMO, MICH",1998-01-02,12:58:58,revisado
1998-01-02,18:19:21,4.9,14.63,-94.25,15.0,"162 km al SUROESTE de PIJIJIAPAN, CHIS",1998-01-03,00:19:21,revisado
1998-01-03,09:11:48,4.7,17.18,-93.76,205.0,"54 km al NORTE de CINTALAPA, CHIS",1998-01-03,15:11:48,revisado
1998-01-03,15:39:10,3.7,16.99,-101.2,16.0,"61 km al SUR de PETATLAN, GRO",1998-01-03,21:39:10,revisado
1998-01-03,15:55:25,3.7,16.91,-99.52,12.0,"19 km al NOROESTE de SAN MARCOS, GRO",1998-01-03,21:55:25,revisado
1998-01-04,05:14:42,4.0,17.32,-101.1,11.0,"30 km al SURESTE de PETATLAN, GRO",1998-01-04,11:14:42,revisado
1998-01-04,12:59:16,4.0,15.95,-98.69,16.0,"81 km al SUROESTE de PINOTEPA NACIONAL, OAX",1998-01-04,18:59:16,revisado
1998-01-04,23:44:41,4.4,16.66,-101.3,31.0,"95 km al SUROESTE de TECPAN, GRO",1998-01-05,05:44:41,revisado
1998-01-04,23:53:01,4.2,16.13,-97.63,5.0,"25 km al NOROESTE de RIO GRANDE, OAX",1998-01-05,05:53:01,revisado
1998-01-05,02:05:03,4.6,14.01,-94.35,24.0,"222 km al SUROESTE de PIJIJIAPAN, CHIS",1998-01-05,08:05:03,revisado
1998-01-05,22:42:50,4.5,24.51,-108.53,10.0,"88 km al SUROESTE de NAVOLATO, SIN",1998-01-06,04:42:50,revisado
1998-01-06,04:56:13,4.5,14.75,-92.39,168.0,"22 km al SUROESTE de TAPACHULA, CHIS",1998-01-06,10:56:13,revisado
1998-01-06,17:33:32,3.3,19.37,-98.62,25.0,"16 km al SUROESTE de CD DE NANACAMILPA, TLAX",1998-01-06,23:33:32,revisado
1998-01-07,01:19:12,3.9,32.39,-115.23,15.0,"17 km al NOROESTE de GPE VICTORIA(KM.43), BC",1998-01-07,07:19:12,revisado
