Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
1977-01-01,10:47:49,no calculable,17.07,-92.32,33.0,"11 km al SUR de YAJALON, CHIS",1977-01-01,16:47:49,revisado
1977-01-01,12:37:49,no calculable,15.58,-95.3,33.0,"68 km al SUR de SALINA CRUZ, OAX",1977-01-01,18:37:49,revisado
1977-01-01,13:29:04,no calculable,15.24,-93.28,33.0,"47 km al SUROESTE de MAPASTEPEC, CHIS",1977-01-01,19:29:04,revisado
1977-01-01,14:41:33,no calculable,17.42,-101.94,33.0,"48 km al SUROESTE de ZIHUATANEJO, GRO",1977-01-01,20:41:33,revisado
1977-01-02,14:05:44,no calculable,16.46,-98.28,33.0,"28 km al NOROESTE de PINOTEPA NACIONAL, OAX",1977-01-02,20:05:44,revisado
1977-01-03,05:00:15,no calculable,14.52,-93.89,33.0,"148 km al SUROESTE de MAPASTEPEC, CHIS",1977-01-03,11:00:15,revisado
1977-01-03,05:43:19,no calculable,17.36,-95.12,33.0,"55 km al NORTE de MATIAS ROMERO, OAX",1977-01-03,11:43:19,revisado
1977-01-03,05:53:11,no calculable,14.53,-92.71,33.0,"62 km al SUROESTE de CD HIDALGO, CHIS",1977-01-03,11:53:11,revisado
1977-01-03,06:08:18,no calculable,17.01,-102.41,33.0,"107 km al SUR de CD LAZARO CARDENAS, MICH",1977-01-03,12:08:18,revisado
1977-01-03,20:54:06,no calculable,16.74,-94.46,62.0,"49 km al NORESTE de UNION HIDALGO, OAX",1977-01-04,02:54:06,revisado
1977-01-04,03:52:34,no calculable,17.2,-95.22,14.0,"41 km al NOROESTE de MATIAS ROMERO, OAX",1977-01-04,09:52:34,revisado
1977-01-04,04:46:19,no calculable,13.89,-92.55,33.0,"97 km al SUROESTE de CD HIDALGO, CHIS",1977-01-04,10:46:19,revisado
1977-01-04,08:56:51,5.2,16.17,-94.33,33.0,"47 km al OESTE de ARRIAGA , CHIS",1977-01-04,14:56:51,revisado
1977-01-04,12:31:37,3.2,32.36,-106.92,5.0,"73 km al NOROESTE de PUERTO DE ANAPRA, CHIH",1977-01-04,18:31:37,revisado
1977-01-04,21:10:08,no calculable,14.51,-92.68,33.0,"60 km al SUROESTE de CD HIDALGO, CHIS",1977-01-05,03:10:08,revisado
1977-01-04,22:18:25,no calculable,17.55,-93.23,16.0,"13 km al NOROESTE de PICHUCALCO, CHIS",1977-01-05,04:18:25,revisado
1977-01-05,09:09:51,no calculable,17.12,-93.31,16.0,"36 km al NORTE de BERRIOZABAL, CHIS",1977-01-05,15:09:51,revisado
1977-01-05,12:39:56,no calculable,14.96,-99.6,33.0,"204 km al SUR de SAN MARCOS, GRO",1977-01-05,18:39:56,revisado
1977-01-05,14:32:06,no calculable,19.23,-99.24,16.0,"4 km al NOROESTE de S MIGUEL AJUSCO, CDMX",1977-01-05,20:32:06,revisado
1977-01-06,02:40:49,no calculable,15.78,-93.75,33.0,"34 km al SUR de TONALA, CHIS",1977-01-06,08:40:49,revisado
1977-01-06,04:45:54,no calculable,18.22,-91.94,33.0,"48 km al SUR de CD DEL CARMEN, CAMP",1977-01-06,10:45:54,revisado
1977-01-06,07:13:32,no calculable,13.8,-92.3,33.0,"98 km al SUR de CD HIDALGO, CHIS",1977-01-06,13:13:32,revisado
1977-01-06,08:22:59,no calculable,13.69,-93.8,33.0,"209 km al SUROESTE de CD HIDALGO, CHIS",1977-01-06,14:22:59,revisado
1977-01-06,11:55:29,no calculable,17.22,-93.31,134.0,"38 km al SUROESTE de PICHUCALCO, CHIS",1977-01-06,17:55:29,revisado
1977-01-06,16:23:51,no calculable,15.58,-93.34,33.0,"18 km al SUROESTE de PIJIJIAPAN, CHIS",1977-01-06,22:23:51,revisado
1977-01-06,21:14:50,no calculable,17.78,-94.55,33.0,"23 km al SUR de MINATITLAN, VER",1977-01-07,03:14:50,revisado
1977-01-07,03:02:34,no calculable,15.5,-93.55,33.0,"42 km al SUROESTE de PIJIJIAPAN, CHIS",1977-01-07,09:02:34,revisado
1977-01-07,22:37:44,no calculable,17.68,-94.87,100.0,"24 km al SURESTE de SAYULA DE ALEMAN, VER",1977-01-08,04:37:44,revisado
1977-01-08,00:31:47,no calculable,16.03,-94.17,33.0,"37 km al SUROESTE de ARRIAGA , CHIS",1977-01-08,06:31:47,revisado
1977-01-08,06:39:49,no calculable,16.11,-97.32,33.0,"16 km al NORESTE de RIO GRANDE, OAX",1977-01-08,12:39:49,revisado
1977-01-08,08:21:24,no calculable,17.64,-102.45,33.0,"43 km al SUROESTE de CD LAZARO CARDENAS, MICH",1977-01-08,14:21:24,revisado
1977-01-08,17:14:13,no calculable,15.39,-95.52,33.0,"78 km al SURESTE de CRUCECITA, OAX",1977-01-08,23:14:13,revisado
1977-01-08,19:51:12,no calculable,14.64,-94.57,33.0,"182 km al SUROESTE de TONALA, CHIS",1977-01-09,01:51:12,revisado
1977-01-08,21:45:52,no calculable,15.84,-97.01,33.0,"7 km al SURESTE de PUERTO ESCONDIDO, OAX",1977-01-09,03:45:52,revisado
1977-01-08,22:56:37,no calculable,16.34,-99.41,33.0,"50 km al SUR de SAN MARCOS, GRO",1977-01-09,04:56:37,revisado
1977-01-09,09:37:47,no calculable,15.39,-93.21,60.0,"33 km al SUR de PIJIJIAPAN, CHIS",1977-01-09,15:37:47,revisado
1977-01-09,16:32:56,no calculable,17.42,-94.78,33.0,"54 km al SURESTE de SAYULA DE ALEMAN, VER",1977-01-09,22:32:56,revisado
1977-01-09,21:16:07,no calculable,14.92,-90.17,33.0,"215 km al ESTE de CACAHOATAN, CHIS",1977-01-10,03:16:07,revisado
1977-01-10,01:01:23,no calculable,19.35,-98.83,16.0,"3 km al ESTE de S FRANCISCO ACUAUTLA, MEX",1977-01-10,07:01:23,revisado
1977-01-10,17:12:26,no calculable,17.0,-101.79,33.0,"76 km al SUROESTE de ZIHUATANEJO, GRO",1977-01-10,23:12:26,revisado
1977-01-10,18:48:20,no calculable,16.06,-94.18,33.0,"36 km al SUROESTE de ARRIAGA , CHIS",1977-01-11,00:48:20,revisado
1977-01-10,21:04:43,no calculable,16.36,-99.06,33.0,"60 km al SURESTE de SAN MARCOS, GRO",1977-01-11,03:04:43,revisado
1977-01-11,00:18:23,no calculable,15.88,-92.91,33.0,"39 km al NORESTE de PIJIJIAPAN, CHIS",1977-01-11,06:18:23,revisado
1977-01-11,00:52:21,no calculable,13.77,-93.27,33.0,"157 km al SUROESTE de CD HIDALGO, CHIS",1977-01-11,06:52:21,revisado
1977-01-11,01:53:34,no calculable,16.83,-94.23,33.0,"56 km al NOROESTE de CINTALAPA, CHIS",1977-01-11,07:53:34,revisado
1977-01-11,12:09:49,no calculable,18.57,-103.86,33.0,"37 km al SUR de TECOMAN, COL",1977-01-11,18:09:49,revisado
1977-01-11,15:44:53,no calculable,15.58,-90.49,33.0,"177 km al ESTE de FRONTERA COMALAPA, CHIS",1977-01-11,21:44:53,revisado
1977-01-11,16:22:39,no calculable,17.56,-89.78,33.0,"154 km al SURESTE de ESCARCEGA, CAMP",1977-01-11,22:22:39,revisado
1977-01-12,00:05:48,no calculable,14.39,-91.01,33.0,"127 km al ESTE de CD HIDALGO, CHIS",1977-01-12,06:05:48,revisado
1977-01-12,05:02:15,no calculable,16.8,-89.1,33.0,"206 km al SUROESTE de CHETUMAL, QR",1977-01-12,11:02:15,revisado
1977-01-12,17:16:38,no calculable,17.77,-93.12,16.0,"11 km al SURESTE de REFORMA, CHIS",1977-01-12,23:16:38,revisado
1977-01-12,17:26:05,no calculable,19.0,-103.08,33.0,"26 km al NORESTE de COALCOMAN, MICH",1977-01-12,23:26:05,revisado
1977-01-12,22:15:29,no calculable,14.53,-94.12,33.0,"161 km al SUROESTE de PIJIJIAPAN, CHIS",1977-01-13,04:15:29,revisado
1977-01-13,22:49:47,no calculable,15.26,-93.88,33.0,"86 km al SUROESTE de PIJIJIAPAN, CHIS",1977-01-14,04:49:47,revisado
1977-01-13,23:10:27,no calculable,17.25,-94.83,33.0,"47 km al NORESTE de MATIAS ROMERO, OAX",1977-01-14,05:10:27,revisado
1977-01-14,02:05:46,no calculable,17.89,-95.58,33.0,"16 km al SUROESTE de ISLA, VER",1977-01-14,08:05:46,revisado
1977-01-14,03:01:44,no calculable,14.92,-93.1,33.0,"62 km al SUROESTE de MAPASTEPEC, CHIS",1977-01-14,09:01:44,revisado
1977-01-14,04:56:20,no calculable,15.85,-99.36,33.0,"104 km al SUR de SAN MARCOS, GRO",1977-01-14,10:56:20,revisado
1977-01-14,08:43:53,no calculable,13.05,-90.74,100.0,"236 km al SURESTE de CD HIDALGO, CHIS",1977-01-14,14:43:53,revisado
1977-01-14,11:05:23,3.7,13.14,-87.76,33.0,"504 km al SURESTE de CD HIDALGO, CHIS",1977-01-14,17:05:23,revisado
1977-01-15,00:40:17,no calculable,17.95,-94.08,33.0,"5 km al NORESTE de LAS CHOAPAS, VER",1977-01-15,06:40:17,revisado
1977-01-15,05:40:29,no calculable,13.44,-89.97,33.0,"272 km al SURESTE de CD HIDALGO, CHIS",1977-01-15,11:40:29,revisado
1977-01-16,00:00:39,no calculable,15.6,-94.56,33.0,"94 km al SURESTE de SALINA CRUZ, OAX",1977-01-16,06:00:39,revisado
1977-01-16,01:17:58,no calculable,18.19,-101.01,33.0,"41 km al SUROESTE de CD ALTAMIRANO, GRO",1977-01-16,07:17:58,revisado
1977-01-16,06:17:12,no calculable,15.31,-93.44,33.0,"48 km al SUROESTE de PIJIJIAPAN, CHIS",1977-01-16,12:17:12,revisado
1977-01-16,10:41:01,4.7,13.23,-92.02,33.0,"161 km al SUR de CD HIDALGO, CHIS",1977-01-16,16:41:01,revisado
1977-01-16,14:49:16,no calculable,14.48,-92.12,33.0,"22 km al SUR de CD HIDALGO, CHIS",1977-01-16,20:49:16,revisado
1977-01-16,20:50:05,no calculable,13.16,-91.35,33.0,"189 km al SURESTE de CD HIDALGO, CHIS",1977-01-17,02:50:05,revisado
1977-01-17,02:46:24,no calculable,14.64,-92.86,33.0,"70 km al SUROESTE de HUIXTLA, CHIS",1977-01-17,08:46:24,revisado
1977-01-17,03:43:03,no calculable,17.21,-95.05,33.0,"37 km al NORTE de MATIAS ROMERO, OAX",1977-01-17,09:43:03,revisado
1977-01-17,05:01:00,no calculable,15.51,-99.17,33.0,"144 km al SUR de SAN MARCOS, GRO",1977-01-17,11:01:00,revisado
1977-01-17,05:13:19,4.6,32.47,-115.18,25.0,"22 km al NOROESTE de GPE VICTORIA(KM.43), BC",1977-01-17,11:13:19,revisado
1977-01-17,11:28:03,no calculable,17.34,-96.25,33.0,"49 km al NORESTE de TLACOLULA, OAX",1977-01-17,17:28:03,revisado
1977-01-17,17:05:12,3.0,32.55,-115.23,12.0,"26 km al SURESTE de MEXICALI, BC",1977-01-17,23:05:12,revisado
1977-01-17,23:11:10,no calculable,20.35,-89.23,33.0,"17 km al NORESTE de TEKAX, YUC",1977-01-18,05:11:10,revisado
1977-01-18,05:17:26,no calculable,14.42,-93.39,33.0,"125 km al SUROESTE de MAPASTEPEC, CHIS",1977-01-18,11:17:26,revisado
