Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
1974-01-03,19:33:19,4.3,19.54,-108.04,33.0,"317 km al SUROESTE de PUERTO VALLARTA, JAL",1974-01-04,01:33:19,revisado
1974-01-04,11:54:57,4.8,14.49,-93.8,51.0,"144 km al SUROESTE de MAPASTEPEC, CHIS",1974-01-04,17:54:57,revisado
1974-01-05,06:38:25,4.3,13.96,-92.51,33.0,"88 km al SUROESTE de CD HIDALGO, CHIS",1974-01-05,12:38:25,revisado
1974-01-08,03:59:02,3.5,32.33,-116.32,8.0,"40 km al SURESTE de TECATE, BC",1974-01-08,09:59:02,revisado
1974-01-10,08:35:40,no calculable,17.58,-103.11,33.0,"97 km al SUROESTE de LA MIRA, MICH",1974-01-10,14:35:40,revisado
1974-01-11,22:47:59,4.4,13.65,-90.96,64.0,"172 km al SURESTE de CD HIDALGO, CHIS",1974-01-12,04:47:59,revisado
1974-01-14,20:29:53,no calculable,17.92,-94.67,33.0,"7 km al SURESTE de JALTIPAN DE MORELOS, VER",1974-01-15,02:29:53,revisado
1974-01-17,05:16:02,4.6,13.21,-88.26,103.0,"450 km al SURESTE de CD HIDALGO, CHIS",1974-01-17,11:16:02,revisado
1974-01-19,10:32:49,no calculable,15.55,-94.08,33.0,"69 km al SUROESTE de TONALA, CHIS",1974-01-19,16:32:49,revisado
1974-01-20,01:46:24,4.5,15.92,-94.67,54.0,"63 km al SURESTE de SALINA CRUZ, OAX",1974-01-20,07:46:24,revisado
1974-01-21,01:54:01,no calculable,17.8,-94.9,33.0,"11 km al SURESTE de SAYULA DE ALEMAN, VER",1974-01-21,07:54:01,revisado
1974-01-21,16:48:52,5.0,14.85,-93.62,33.0,"102 km al SUROESTE de MAPASTEPEC, CHIS",1974-01-21,22:48:52,revisado
1974-01-22,16:39:15,no calculable,15.41,-94.64,33.0,"104 km al SURESTE de SALINA CRUZ, OAX",1974-01-22,22:39:15,revisado
1974-01-23,00:15:25,3.5,32.13,-115.8,8.0,"59 km al SUROESTE de SANTA ISABEL, BC",1974-01-23,06:15:25,revisado
1974-01-24,05:29:24,no calculable,13.59,-92.32,33.0,"122 km al SUR de CD HIDALGO, CHIS",1974-01-24,11:29:24,revisado
1974-01-25,07:43:57,no calculable,14.1,-92.62,33.0,"82 km al SUROESTE de CD HIDALGO, CHIS",1974-01-25,13:43:57,revisado
1974-01-25,17:14:56,no calculable,16.57,-98.75,33.0,"39 km al SUROESTE de OMETEPEC, GRO",1974-01-25,23:14:56,revisado
1974-01-25,23:35:33,5.1,18.26,-103.41,33.0,"63 km al SUROESTE de COALCOMAN, MICH",1974-01-26,05:35:33,revisado
1974-01-26,19:02:44,no calculable,15.53,-98.06,33.0,"86 km al SUROESTE de RIO GRANDE, OAX",1974-01-27,01:02:44,revisado
